Gender	Age	Occupation	Avg Movie Rating	RMSE	Avg Movie Age	Types
M	25	scientist	4.40034861735	1.11704396174	42.56	['Drama', 'Comedy', 'War', 'Documentary', 'Animation']
F	1	K-12 student	4.21027373594	0.567836358917	28.08	['Drama', 'Comedy', 'Documentary', 'War', 'Thriller']
M	35	academic/educator	4.11281801977	0.74023150658	30.22	['Drama', 'Comedy', 'War', 'Romance', 'Action']
M	25	clerical/admin	4.27055719195	0.927942901214	24.34	['Drama', 'War', 'Action', 'Comedy', 'Romance']
M	56	academic/educator	4.33966236018	1.29201919879	46.48	['Drama', 'Comedy', 'War', 'Thriller', 'Film-Noir']
M	35	executive/managerial	4.35366530914	0.916362359958	41.36	['Drama', 'Comedy', 'War', 'Romance', 'Documentary']
F	56	academic/educator	4.36109160698	0.532494204857	33.4	['Drama', 'Comedy', 'Animation', 'Documentary', 'Thriller']
M	25	self-employed	4.27897657213	1.12196646836	40.3	['Drama', 'Comedy', 'Film-Noir', 'Documentary', 'Thriller']
M	25	academic/educator	4.40458660498	0.837601315111	44.22	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
F	18	college/grad student	4.37289402174	0.893208577841	35.86	['Drama', 'Action', 'Comedy', 'Animation', 'Documentary']
M	50	sales/marketing	4.36536934075	0.642195191474	37.22	['Drama', 'Comedy', 'Thriller', 'War', 'Mystery']
M	18	college/grad student	4.35421173386	0.563572448968	39.42	['Drama', 'Comedy', 'Thriller', 'War', 'Mystery']
M	18	other	4.24556274796	0.873381437751	34.24	['Drama', 'Comedy', 'Documentary', 'Action', 'Horror']
M	18	college/grad student	4.13287296107	0.635222919067	20.66	['Drama', 'Comedy', 'Documentary', 'Action', 'Romance']
M	18	college/grad student	4.33321001357	0.559581334307	30.38	['Drama', 'Comedy', 'Action', 'Animation', 'Crime']
M	25	other	4.39278694969	1.11361251182	40.14	['Drama', 'Comedy', 'Animation', 'Adventure', 'Action']
M	45	self-employed	4.38234095054	0.703661229654	34.8	['Drama', 'Thriller', 'Comedy', 'Crime', 'Documentary']
F	35	academic/educator	4.34766096082	0.622503355634	33.44	['Drama', 'Action', 'Comedy', 'Adventure', 'War']
M	45	tradesman/craftsman	4.29327714493	0.502876013641	34.54	['Drama', 'Action', 'Thriller', 'Crime', 'Documentary']
M	25	sales/marketing	4.25953665257	0.646781088938	24.84	['Drama', 'War', 'Comedy', 'Romance', 'Action']
F	25	sales/marketing	4.28706648493	0.85730379118	26.5	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
F	18	executive/managerial	4.34828512926	0.549465138227	32.58	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
M	25	self-employed	4.32501867065	0.964857045269	41.62	['Drama', 'Comedy', 'War', 'Film-Noir', 'Crime']
M	18	technician/engineer	4.38622501642	0.653208410015	39.22	['Drama', 'Comedy', 'Mystery', 'War', 'Thriller']
M	50	other	4.40206438176	0.631059958196	43.74	['Drama', 'Comedy', 'War', 'Thriller', 'Action']
F	18	college/grad student	4.22696041008	0.960095567516	23.8	['Comedy', 'Drama', 'Romance', 'Thriller', 'Animation']
M	18	programmer	4.27550120524	0.664767680075	24.46	['Drama', 'Comedy', 'Thriller', 'Action', 'Adventure']
M	18	college/grad student	4.25231320267	1.21119285478	35.66	['Comedy', 'Drama', 'Animation', 'Action', 'Thriller']
M	35	clerical/admin	4.32022622414	0.992727513472	44.72	['Drama', 'Comedy', 'Action', 'War', 'Documentary']
M	18	programmer	4.31265814843	0.630223327405	39.42	['Drama', 'War', 'Action', 'Crime', 'Adventure']
M	25	technician/engineer	4.10228843862	0.902063363882	26.68	['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']
M	25	programmer	4.27283775572	0.404302731091	42.24	['Drama', 'Comedy', 'Romance', 'Action', 'War']
F	18	other	4.27272228922	0.812134210891	42.78	['Drama', 'Documentary', 'Comedy', 'Thriller', 'Crime']
M	45	executive/managerial	4.19787739143	0.754388480602	33.68	['Drama', 'Action', 'Thriller', 'Animation', 'Comedy']
M	25	other	3.68799472296	2.0179569354	48.68	['Horror', 'Sci-Fi', 'Drama', 'Comedy', 'Romance']
M	1	K-12 student	4.30303635637	0.626593250849	44.0	['Drama', 'Comedy', 'Documentary', 'War', 'Romance']
M	25	programmer	4.37182382835	1.30115466461	41.34	['Drama', 'Action', 'War', 'Comedy', 'Adventure']
F	25	college/grad student	4.25420468286	1.1263298499	29.24	['Drama', 'Comedy', 'Romance', 'Animation', 'Documentary']
M	18	college/grad student	4.33219848895	0.980760266035	47.62	['Drama', 'Documentary', 'Crime', 'Comedy', 'Action']
M	35	executive/managerial	4.29823364111	0.653608462253	39.64	['Drama', 'Comedy', 'War', 'Adventure', 'Action']
F	1	K-12 student	4.15757624657	0.975240302853	33.44	['Action', 'Drama', 'Comedy', 'Thriller', 'Sci-Fi']
F	35	executive/managerial	4.29646880731	0.928612853201	38.76	['Drama', 'Action', 'War', 'Thriller', 'Adventure']
M	35	executive/managerial	4.39421739802	0.625998195677	43.66	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
M	56	retired	4.30052124553	1.02807839379	38.44	['Drama', 'Comedy', 'Action', 'War', 'Thriller']
M	25	technician/engineer	4.37755148637	0.934603014432	38.56	['Drama', 'Comedy', 'War', 'Thriller', 'Crime']
F	18	college/grad student	4.1723555131	0.995763868373	33.22	['Comedy', 'Drama', 'Romance', 'Musical', 'Thriller']
M	45	other	4.33950113768	0.773454760564	45.38	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
M	25	technician/engineer	4.1518463242	1.00271861318	27.1	['Action', 'Sci-Fi', 'Drama', 'Thriller', 'Adventure']
F	35	clerical/admin	4.3879712837	0.582758637227	51.6	['Drama', 'Comedy', 'War', 'Animation', 'Action']
F	25	self-employed	4.33930554305	0.806499086877	47.38	['Drama', 'Comedy', 'Romance', 'War', 'Adventure']
F	25	technician/engineer	4.21899790838	0.672940212259	35.14	['Drama', 'Action', 'War', 'Thriller', 'Adventure']
M	56	academic/educator	4.35068416295	0.955531912415	46.16	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
F	25	artist	4.02552773687	1.19823016726	23.66	['Drama', 'Comedy', 'Romance', "Children's", 'Musical']
F	18	self-employed	4.28985108935	0.983765267399	40.32	['Drama', 'Film-Noir', 'Crime', 'Thriller', 'Documentary']
F	25	executive/managerial	4.37798076923	0.709340194739	39.82	['Drama', 'Comedy', 'Crime', 'Action', 'Thriller']
F	25	other	4.29178599323	0.646556509568	29.84	['Drama', 'Comedy', 'Romance', 'Animation', 'Documentary']
M	45	programmer	4.39266392556	1.29679211706	41.26	['Drama', 'War', 'Action', 'Thriller', 'Crime']
M	56	clerical/admin	4.35124777184	0.683464022622	48.18	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Adventure']
M	50	academic/educator	4.37492142144	0.852016633585	45.18	['Drama', 'War', 'Film-Noir', 'Crime', 'Adventure']
M	56	other	4.27850300735	1.01411741815	33.9	['Drama', 'Crime', 'Thriller', 'Action', 'War']
M	25	college/grad student	4.36761697266	0.998896292904	48.04	['Drama', 'Comedy', 'War', 'Romance', 'Animation']
M	25	other	4.34014404259	0.8229901057	45.86	['Drama', 'War', 'Comedy', 'Film-Noir', 'Documentary']
M	25	programmer	4.02227852525	0.519365757153	28.34	['Comedy', 'Drama', 'Action', 'Thriller', 'Crime']
M	50	academic/educator	4.37748614281	0.866055188888	43.42	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
M	1	K-12 student	4.13286558509	1.44002782244	24.98	['Drama', 'Thriller', 'Action', 'Comedy', 'Documentary']
M	18	writer	4.22792580982	1.03882794439	20.42	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Crime']
M	50	academic/educator	4.34991160566	0.686968556589	51.24	['Drama', 'Comedy', 'War', 'Film-Noir', 'Thriller']
M	18	college/grad student	4.29530167654	0.989299449747	34.02	['Drama', 'Comedy', 'Documentary', 'Crime', 'Thriller']
M	45	academic/educator	4.33579154376	1.03528932404	34.2	['Drama', 'Comedy', 'War', 'Adventure', 'Animation']
M	18	other	4.37040775131	0.604240617563	41.42	['Drama', 'Comedy', 'Action', 'Adventure', 'War']
F	25	academic/educator	4.27033926219	0.854562906187	25.12	['Comedy', 'Drama', 'Documentary', 'Thriller', 'Crime']
M	50	artist	4.29301372896	0.779738296043	34.28	['Comedy', 'Drama', 'Action', 'Sci-Fi', 'Adventure']
M	1	K-12 student	4.26316159168	0.958889529256	29.72	['Drama', 'Comedy', 'Action', 'Thriller', 'Adventure']
M	35	other	4.4159038164	0.437946062085	42.46	['Drama', 'Comedy', 'War', 'Animation', 'Crime']
M	18	college/grad student	4.26618922736	1.30096313971	25.72	['Comedy', 'Drama', 'Romance', 'Documentary', 'Animation']
F	35	programmer	4.36668336445	1.14503899782	31.12	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Animation']
F	25	sales/marketing	4.40292850991	0.743417976941	44.48	['Drama', 'Thriller', 'Comedy', 'Crime', 'Film-Noir']
M	1	K-12 student	4.15367629018	0.965730512214	19.86	['Drama', 'Comedy', 'Romance', 'Action', 'Documentary']
F	18	writer	4.34262354091	0.615617748628	29.04	['Drama', 'Comedy', 'Documentary', 'Animation', 'Romance']
M	25	scientist	4.20723779955	0.876687164198	30.92	['Drama', 'Comedy', 'Documentary', 'Mystery', 'Thriller']
F	18	college/grad student	4.38246899662	0.790046115771	47.38	['Drama', 'Comedy', 'Thriller', 'Crime', 'Romance']
F	18	college/grad student	4.1930786943	0.642161048351	30.4	['Drama', 'Comedy', 'Romance', 'Action', 'Thriller']
F	18	college/grad student	4.39416058394	0.603161086962	35.46	['Drama', 'Comedy', 'Action', 'Thriller', 'War']
M	25	tradesman/craftsman	4.3684818236	0.492415355207	53.32	['Drama', 'Film-Noir', 'Thriller', 'Comedy', 'War']
M	45	executive/managerial	4.21874114904	1.0029640674	28.84	['Drama', 'Comedy', 'Action', 'Adventure', 'Romance']
M	25	college/grad student	4.0949112426	1.13478975857	39.78	['Drama', 'Comedy', 'Documentary', 'Romance', 'Sci-Fi']
F	35	clerical/admin	4.33432283014	1.23554902191	35.06	['Drama', 'War', 'Action', 'Comedy', 'Thriller']
F	35	other	4.37693717196	0.693462323479	53.0	['Drama', 'Comedy', 'Thriller', 'Mystery', 'Romance']
M	50	academic/educator	4.36870297924	0.702672493572	41.2	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Animation']
M	45	clerical/admin	4.33900333579	0.551255005722	32.42	['Drama', 'War', 'Action', 'Thriller', 'Comedy']
F	35	academic/educator	4.37812273967	0.610110349681	49.78	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'War']
F	45	academic/educator	4.36634465566	0.509481022796	33.5	['Drama', 'Comedy', 'Documentary', 'Animation', 'War']
M	56	academic/educator	4.28013937282	1.4281606418	56.82	['Drama', 'Comedy', 'Romance', 'War', 'Thriller']
M	25	clerical/admin	4.21437640395	0.920486622089	38.4	['Drama', 'Comedy', 'Romance', 'Thriller', 'Animation']
M	35	technician/engineer	4.2519147751	0.991603893659	45.3	['Drama', 'Comedy', 'Documentary', 'War', 'Mystery']
M	18	executive/managerial	4.32729734304	0.639562957929	45.82	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
M	45	lawyer	4.31404328344	1.20209064353	51.8	['Drama', 'Comedy', 'Romance', 'Documentary', 'War']
M	25	college/grad student	3.95245193024	1.06826682309	31.86	['Drama', 'Documentary', 'Comedy', 'Crime', 'Romance']
M	35	technician/engineer	4.37942558015	0.502184422022	49.82	['Drama', 'War', 'Thriller', 'Film-Noir', 'Crime']
M	25	academic/educator	4.41381637215	0.736873377463	47.7	['Drama', 'Comedy', 'Film-Noir', 'War', 'Thriller']
M	18	customer service	4.00832399552	1.23638515993	21.94	['Comedy', 'Drama', 'Action', 'Thriller', 'Romance']
M	18	other	4.14829024187	0.758762223166	27.78	['Drama', 'Action', 'Comedy', 'War', 'Thriller']
F	35	doctor/health care	4.33850996852	0.758949211232	51.6	['Drama', 'Action', 'Adventure', 'Comedy', 'Romance']
M	25	technician/engineer	4.35794891166	0.717690259898	43.28	['Drama', 'Comedy', 'Documentary', 'Film-Noir', 'Animation']
F	45	other	4.09966441166	0.946338397207	32.76	['Drama', 'Comedy', 'Romance', 'Musical', 'Adventure']
F	45	self-employed	4.4055861324	0.686426139338	39.24	['Drama', 'Comedy', 'Action', 'Animation', 'War']
M	50	self-employed	4.39328997931	0.615920843858	36.74	['Drama', 'Comedy', 'War', 'Thriller', 'Romance']
M	25	unemployed	4.2917535545	0.695648268228	36.46	['Drama', 'Comedy', 'Action', 'Documentary', 'Thriller']
F	25	programmer	4.31842970267	1.00888282715	39.32	['Drama', 'Comedy', 'Documentary', 'Thriller', 'Film-Noir']
M	56	retired	4.2390331508	0.83918635129	32.66	['Drama', 'Comedy', 'Thriller', 'Documentary', 'Crime']
