Gender	Age	Occupation	Avg Recommended Rating	Avg Seen Rating	RMSE	Avg Movie Age	Types
M	25	scientist	4.40603597845	3.74345189291	0.448897181896	45.26	['Drama', 'Comedy', 'Thriller', 'Film-Noir', 'Mystery']
F	1	K-12 student	4.1898767424	3.33186879257	1.06728749071	25.88	['Drama', 'Action', 'War', 'Adventure', 'Romance']
M	35	academic/educator	4.08616586091	3.80545255878	0.742405018924	26.18	['Drama', 'Comedy', 'Documentary', 'Romance', 'Action']
M	25	clerical/admin	3.89475381638	3.72860083754	1.29650270659	29.26	['Drama', 'Action', 'Sci-Fi', 'Comedy', 'Adventure']
M	56	academic/educator	4.34058145123	3.96787642665	0.80117657663	43.76	['Drama', 'Comedy', 'War', 'Action', 'Romance']
M	35	executive/managerial	4.3276302547	3.88783807167	0.725131096207	48.76	['Drama', 'Comedy', 'Romance', 'Thriller', 'Film-Noir']
F	56	academic/educator	4.38517495885	3.95907992274	0.622726627856	27.22	['Drama', 'Comedy', 'Documentary', 'War', 'Animation']
M	25	self-employed	4.22964036598	3.74621109665	0.707872846271	34.48	['Drama', 'Documentary', 'Comedy', 'War', 'Romance']
M	25	academic/educator	4.38078267581	3.90904451569	0.767725482657	27.88	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
F	18	college/grad student	4.40115016365	3.69941794035	0.687040973712	35.46	['Drama', 'Comedy', 'Action', 'Documentary', 'Animation']
M	50	sales/marketing	4.38058768995	3.86684192878	0.358372215536	30.62	['Drama', 'Comedy', 'War', 'Documentary', 'Romance']
M	18	college/grad student	4.37582065653	3.52970286156	0.885278665939	38.02	['Drama', 'Comedy', 'War', 'Action', 'Documentary']
M	18	other	4.21589018303	3.46471495964	0.841723801645	34.22	['Drama', 'Action', 'Comedy', 'Documentary', 'War']
M	18	college/grad student	4.16471848821	3.53506273241	0.820169476163	22.42	['Drama', 'Comedy', 'Documentary', 'Romance', 'Action']
M	18	college/grad student	4.34816295242	3.75939388025	0.703263938743	31.08	['Drama', 'Comedy', 'Thriller', 'Action', 'Documentary']
M	25	other	4.3401098573	3.81741505532	0.89600298385	36.98	['Drama', 'Comedy', 'Romance', 'Thriller', 'War']
M	45	self-employed	4.27329750623	3.77369795216	0.729038064162	28.9	['Drama', 'Action', 'Comedy', 'War', 'Adventure']
F	35	academic/educator	4.2826695799	3.8989045799	0.458788145211	31.8	['Drama', 'Action', 'Comedy', 'War', 'Adventure']
M	45	tradesman/craftsman	4.31834845844	2.90706063482	0.686498462546	41.8	['Drama', 'Comedy', 'Action', 'Sci-Fi', 'Adventure']
M	25	sales/marketing	4.33492149838	3.73528268325	0.625768626733	29.78	['Drama', 'Action', 'Comedy', 'Crime', 'Thriller']
F	25	sales/marketing	4.34688746789	3.37274280623	1.03801351644	32.1	['Drama', 'Comedy', 'Documentary', 'Animation', 'War']
F	18	executive/managerial	4.39569190601	3.57010654637	0.775998303256	37.26	['Drama', 'Comedy', 'Documentary', 'Animation', 'Film-Noir']
M	25	self-employed	4.32862504939	3.56933715657	0.76903493476	39.06	['Drama', 'Comedy', 'War', 'Documentary', 'Action']
M	18	technician/engineer	4.37643078658	3.50754780704	0.905018136392	30.6	['Drama', 'Comedy', 'Documentary', 'War', 'Animation']
M	50	other	4.39296146891	3.64331625598	0.532360826971	33.32	['Drama', 'Comedy', 'War', 'Action', 'Thriller']
F	18	college/grad student	4.34205008018	3.72349881822	0.890845473889	23.0	['Drama', 'Comedy', 'Romance', 'Animation', 'Adventure']
M	18	programmer	4.31833322588	3.66175125149	0.859658640209	25.16	['Drama', 'Comedy', 'Action', 'Thriller', 'Documentary']
M	18	college/grad student	4.25846599132	3.39088760491	1.11169790411	28.32	['Drama', 'Comedy', 'Animation', 'Action', 'Romance']
M	35	clerical/admin	4.25635464332	4.08904377246	1.05644551721	35.08	['Drama', 'Comedy', 'Romance', 'Action', 'Animation']
M	18	programmer	4.32735694397	4.04738111376	0.671708926716	36.52	['Drama', 'War', 'Action', 'Comedy', 'Crime']
M	25	technician/engineer	4.22431055233	3.67007497069	1.30825504646	30.92	['Drama', 'Action', 'Thriller', 'Comedy', 'Crime']
M	25	programmer	4.23775693474	3.94801217947	0.592216318191	40.14	['Drama', 'Action', 'Comedy', 'Adventure', 'War']
F	18	other	4.37038834951	3.82257684812	0.908045692653	36.42	['Drama', 'Comedy', 'Crime', 'Documentary', 'Thriller']
M	45	executive/managerial	4.24253609593	3.73282822118	0.765063613655	35.44	['Drama', 'Action', 'Thriller', 'Comedy', 'Romance']
M	25	other	4.11263095293	3.56610229659	1.64989537337	27.24	['Drama', 'Action', 'Comedy', 'Thriller', 'Adventure']
M	1	K-12 student	4.33530652351	3.84615399854	0.791676158838	31.08	['Drama', 'Comedy', 'Documentary', 'War', 'Thriller']
M	25	programmer	4.38085411293	3.74279219733	0.929170899611	40.2	['Drama', 'Action', 'War', 'Comedy', 'Thriller']
F	25	college/grad student	4.27504260121	3.40257462031	1.09592045953	40.6	['Comedy', 'Drama', 'Romance', 'Animation', 'Musical']
M	18	college/grad student	4.31763315607	3.21155040143	0.825112637681	47.54	['Drama', 'Comedy', 'Film-Noir', 'Crime', 'Thriller']
M	35	executive/managerial	4.25575745797	3.70034136529	0.666904016291	35.72	['Drama', 'Comedy', 'Documentary', 'Adventure', 'Thriller']
F	1	K-12 student	4.01252110607	3.65116430604	1.20246327503	25.34	['Comedy', 'Drama', 'Action', 'Sci-Fi', 'Documentary']
F	35	executive/managerial	3.92873003367	3.79245243724	1.16197594212	27.08	['Drama', 'Romance', 'Comedy', 'Action', 'Thriller']
M	35	executive/managerial	4.35948568764	3.97580633822	0.309585538266	43.98	['Drama', 'Comedy', 'Thriller', 'Adventure', 'Action']
M	56	retired	4.30797877293	3.49344275487	0.922008113384	40.3	['Drama', 'Comedy', 'Documentary', 'War', 'Action']
M	25	technician/engineer	4.399797219	3.28606369525	1.37112453919	36.9	['Drama', 'Comedy', 'War', 'Film-Noir', 'Documentary']
F	18	college/grad student	4.19713391137	3.332669515	1.45155607793	33.08	['Comedy', 'Drama', 'Romance', 'Documentary', 'Animation']
M	45	other	4.38129368408	3.80991198943	0.918988255289	47.66	['Drama', 'Comedy', 'Thriller', 'Action', 'War']
M	25	technician/engineer	4.12875143184	3.51934291007	1.60580392426	35.64	['Drama', 'Comedy', 'Documentary', 'War', 'Romance']
F	35	clerical/admin	4.36981831366	4.04343862465	0.482739566223	45.14	['Drama', 'Comedy', 'War', 'Animation', 'Adventure']
F	25	self-employed	4.37312805253	4.00793131316	0.677352483471	47.7	['Drama', 'War', 'Action', 'Comedy', 'Thriller']
F	25	technician/engineer	4.27072029063	3.8272880605	0.520809247491	29.08	['Drama', 'Action', 'Adventure', 'Thriller', 'Comedy']
M	56	academic/educator	4.33138938136	3.82477256295	1.31716191902	44.06	['Drama', 'Comedy', 'Mystery', 'War', 'Thriller']
F	25	artist	3.78713629403	3.36798715742	0.554247951015	29.26	['Drama', 'Romance', 'Comedy', 'Documentary', 'Musical']
F	18	self-employed	4.37142144327	3.68025284884	0.737214639807	42.98	['Drama', 'Comedy', 'War', 'Romance', 'Crime']
F	25	executive/managerial	4.38210405087	3.28149232718	1.08346850646	36.86	['Drama', 'Comedy', 'Crime', 'Thriller', 'Documentary']
F	25	other	4.35289047998	3.4306294147	0.660829513526	34.94	['Drama', 'Comedy', 'Thriller', 'Romance', 'War']
M	45	programmer	4.32473425218	3.33749167032	1.06560610323	27.36	['Drama', 'Comedy', 'Action', 'Animation', 'Adventure']
M	56	clerical/admin	4.34767077706	3.84237060344	0.869849973558	52.94	['Drama', 'Comedy', 'War', 'Documentary', 'Thriller']
M	50	academic/educator	4.36773190637	3.7739295714	0.797020104672	40.3	['Drama', 'Comedy', 'War', 'Adventure', 'Film-Noir']
M	56	other	4.33278042712	3.85016705676	0.89644499445	31.7	['Drama', 'Documentary', 'Comedy', 'War', 'Crime']
M	25	college/grad student	4.28557470688	3.84488172413	0.575456772263	44.58	['Drama', 'Comedy', 'War', 'Romance', 'Adventure']
M	25	other	4.34672001208	3.33957798994	0.945977525521	42.0	['Drama', 'Comedy', 'War', 'Film-Noir', 'Documentary']
M	25	programmer	3.86400312974	3.59173502963	0.751478661963	22.8	['Comedy', 'Drama', 'Documentary', 'Action', 'Crime']
M	50	academic/educator	4.38124582374	3.84611106778	0.973692639922	37.14	['Drama', 'Comedy', 'War', 'Documentary', 'Romance']
M	1	K-12 student	4.1313058061	3.57201071146	1.24815145747	20.98	['Drama', 'Documentary', 'Comedy', 'Thriller', 'Romance']
M	18	writer	4.30542020395	3.51098009849	1.00648574456	41.08	['Drama', 'Comedy', 'Documentary', 'Romance', 'Film-Noir']
M	50	academic/educator	4.35451074778	3.86426233219	0.741526936042	46.52	['Drama', 'Comedy', 'War', 'Romance', 'Film-Noir']
M	18	college/grad student	4.33674759737	3.29365140057	0.782279560595	31.58	['Drama', 'Comedy', 'Action', 'Documentary', 'War']
M	45	academic/educator	4.26404343746	3.87271996241	0.758345759041	25.62	['Drama', 'Comedy', 'Romance', 'Animation', 'Thriller']
M	18	other	4.33835556358	3.48311477627	0.578483391957	40.3	['Drama', 'Comedy', 'Action', 'Documentary', 'War']
F	25	academic/educator	4.20227281821	3.64381958151	1.07679882067	29.8	['Drama', 'Comedy', 'Documentary', 'Crime', 'Romance']
M	50	artist	4.32762492981	3.55368895005	0.903081906463	33.04	['Drama', 'Comedy', 'Romance', 'Animation', 'Crime']
M	1	K-12 student	4.21836011842	3.18819625968	0.592921009232	25.04	['Drama', 'Action', 'Comedy', 'Thriller', 'Crime']
M	35	other	4.36370839937	3.73834385847	0.560073309372	37.84	['Drama', 'Comedy', 'Documentary', 'Sci-Fi', 'Film-Noir']
M	18	college/grad student	4.27568645981	3.44549818635	0.894064643448	22.38	['Drama', 'Comedy', 'Action', 'Animation', 'Documentary']
F	35	programmer	4.41455168174	3.81125028784	1.26564008241	41.92	['Drama', 'Comedy', 'Documentary', 'War', 'Mystery']
F	25	sales/marketing	4.39616221471	3.81753664166	1.34193662621	32.6	['Drama', 'Comedy', 'Thriller', 'Crime', 'Animation']
M	1	K-12 student	4.05822557471	3.34089440593	0.854799656714	24.5	['Drama', 'Comedy', 'Action', 'Documentary', 'Thriller']
F	18	writer	4.34984457163	3.91924917024	0.644688780497	28.96	['Drama', 'Comedy', 'Thriller', 'Action', 'Documentary']
M	25	scientist	4.21627654095	3.4242965217	1.09791858623	27.06	['Drama', 'Comedy', 'Romance', 'Documentary', 'Animation']
