#Distance,Gender,Race,Income
near,F,Black or African American,40000<=income<80000,low
near,M,Black or African American,40000<=income<80000,low
near,F,Hispanic or Latino,80000<=income<160000,low
near,F,White Not Hispanic or Latino,5000<=income<10000,low
near,F,White Not Hispanic or Latino,80000<=income<160000,low
near,M,White Not Hispanic or Latino,5000<=income<10000,low
near,M,Black or African American,80000<=income<160000,low
near,F,Black or African American,10000<=income<20000,low
near,M,White Not Hispanic or Latino,10000<=income<20000,low
near,F,White Not Hispanic or Latino,160000<=income<320000,low
near,F,White Not Hispanic or Latino,40000<=income<80000,low
near,F,White Not Hispanic or Latino,5000<=income<10000,low
far,M,White Not Hispanic or Latino,80000<=income<160000,high
far,M,White Not Hispanic or Latino,160000<=income<320000,high
near,F,White Not Hispanic or Latino,80000<=income<160000,low
near,F,White Not Hispanic or Latino,160000<=income<320000,low
near,M,Black or African American,20000<=income<40000,low
far,M,Black or African American,80000<=income<160000,high
near,F,White Not Hispanic or Latino,160000<=income<320000,low
near,M,White Not Hispanic or Latino,40000<=income<80000,low
near,F,White Not Hispanic or Latino,20000<=income<40000,low
near,F,White Not Hispanic or Latino,20000<=income<40000,low
near,F,Black or African American,40000<=income<80000,low
near,F,White Not Hispanic or Latino,20000<=income<40000,low
near,M,Hispanic or Latino,20000<=income<40000,low
near,M,White Not Hispanic or Latino,160000<=income<320000,low
near,F,Hispanic or Latino,40000<=income<80000,low
near,M,Black or African American,5000<=income<10000,low
near,F,White Not Hispanic or Latino,160000<=income<320000,low
near,M,White Not Hispanic or Latino,80000<=income<160000,low
near,M,White Not Hispanic or Latino,40000<=income<80000,low
near,F,White Not Hispanic or Latino,20000<=income<40000,low
near,M,White Not Hispanic or Latino,5000<=income<10000,low
near,F,White Not Hispanic or Latino,160000<=income<320000,low
near,F,White Not Hispanic or Latino,40000<=income<80000,low
near,M,White Not Hispanic or Latino,20000<=income<40000,low
near,F,White Not Hispanic or Latino,20000<=income<40000,low
far,M,White Not Hispanic or Latino,80000<=income<160000,high
near,M,White Not Hispanic or Latino,10000<=income<20000,low
near,F,Black or African American,20000<=income<40000,low
near,F,White Not Hispanic or Latino,40000<=income<80000,low
near,F,Black or African American,10000<=income<20000,low
near,M,Black or African American,40000<=income<80000,low
near,F,White Not Hispanic or Latino,80000<=income<160000,low
near,F,White Not Hispanic or Latino,40000<=income<80000,low
