#uid, zipcode, sex, race, income
0,73099,1,1,60824
1,02170,1,1,104615
2,98146,0,2,61169
3,43232,1,3,34396
4,89511,1,1,87462
5,11790,0,1,60229
6,06801,1,1,135368
7,37322,0,1,49346
8,13421,1,1,6579
9,06111,1,1,104529
10,79904,1,1,14429
11,86004,1,2,14095
12,38017,1,1,340124
13,48093,0,1,67211
14,90815,0,1,73467
15,32164,0,1,140388
16,57104,0,1,12311
17,55110,1,1,30372
18,00745,1,2,12154
19,60513,1,1,56989
20,22031,0,5,331993
21,98103,0,1,209640
22,10460,0,3,99881
23,84115,1,5,21925
24,90063,0,2,76485
25,07003,0,1,31512
26,20841,0,5,79780
27,46403,1,1,92634
28,28551,0,1,48271
29,64068,0,2,216
30,75116,1,1,17914
31,28351,1,1,56677
32,90620,0,1,15565
33,92084,1,2,10342
34,76401,1,1,104527
35,11216,1,1,50668
36,33351,0,2,14703
37,48038,1,1,29846
38,89044,1,1,22218
39,35773,0,1,10545
40,08610,1,3,91786
41,30022,0,1,139433
42,34112,1,1,239178
43,64735,0,1,119246
44,39301,1,1,130316
45,37938,1,1,63999
46,97007,0,1,27448
47,55305,0,1,4811
48,99354,0,1,106058
49,98155,0,1,32934
50,98042,0,2,24198
51,64628,0,1,59213
52,60193,0,5,141135
53,43228,1,1,25829
54,08638,0,3,74378
55,36426,0,1,13688
56,28334,0,1,72402
57,94603,0,3,68708
58,99577,1,1,36430
59,02038,0,1,109229
60,37871,1,1,109191
61,08536,0,1,178222
62,40222,1,1,66166
63,80487,1,1,35229
64,13502,0,1,16126
65,60002,0,2,55074
66,83202,1,1,76375
67,93221,1,1,56662
68,23113,1,1,209079
69,07675,1,1,404734
70,27534,0,3,5212
71,01851,1,5,32290
72,33037,1,1,79386
73,21043,1,1,427613
74,23224,1,3,95561
75,42345,1,1,54461
76,94061,0,1,107689
77,90806,0,1,224949
78,10474,0,3,9375
79,90005,1,2,7995
80,80205,0,3,1808
81,76446,1,1,93205
82,27962,1,1,23120
83,80205,0,1,299110
84,77076,0,2,1899
85,93221,0,3,64760
86,37321,1,2,9208
87,01923,0,1,43119
88,75081,0,1,40916
89,78247,0,1,63691
90,16159,1,1,75366
91,91780,0,1,126160
92,70535,0,3,71603
93,05060,1,1,36044
94,19440,1,1,43785
95,98003,1,2,23107
96,26505,1,1,13315
97,23518,0,1,476
98,28311,1,1,10095
99,57703,1,1,14765
100,01801,0,1,38298
101,12918,0,1,26099
102,04952,1,1,33550
103,92843,1,5,51546
104,18237,0,1,29442
105,72212,0,8,8665
106,37067,0,1,189152
107,95630,0,1,210509
108,75228,1,3,43219
109,55056,0,1,42339
110,02481,1,5,9844
111,33141,0,2,25798
112,12553,1,1,180083
113,37010,1,1,263395
114,33141,1,1,177477
115,90232,1,3,52252
116,46203,0,1,6323
117,44125,0,1,176731
118,91910,1,2,49688
119,01536,0,8,3600
120,14904,0,4,28558
121,45150,1,1,222475
122,95618,0,1,255460
123,43512,1,1,62559
124,90025,0,1,148634
125,37075,0,1,8144
126,72002,1,1,32131
127,05488,1,1,73297
128,79329,0,1,137334
129,37218,0,3,10496
130,75092,1,1,42043
131,08817,1,5,11231
132,89706,1,4,50132
133,68132,0,8,19984
134,89815,1,1,143053
135,44857,1,1,84984
136,98908,1,2,10080
137,46947,1,1,69564
138,94509,1,2,41894
139,33955,1,1,92159
140,19380,1,2,25128
141,30512,1,1,169999
142,63771,0,1,122964
143,33126,1,2,10158
144,43420,0,1,50056
145,77845,0,1,172930
146,30349,1,3,32069
147,01960,0,1,5072
148,32839,0,2,33734
149,14533,1,1,75282
150,23454,1,1,44276
151,27834,1,3,99478
152,29936,0,2,25177
153,91601,0,2,19809
154,29625,1,1,21599
155,32765,0,1,264217
156,46217,0,1,37836
157,93420,0,1,88630
158,77539,1,1,62000
159,91356,0,1,15768
160,95367,1,2,1047
161,80128,1,2,106416
162,49201,0,1,81779
163,08033,0,1,39885
164,10604,1,1,539726
165,01301,1,1,180308
166,95062,0,1,60979
167,92704,0,2,14981
168,18301,1,1,67574
169,11764,1,1,80937
170,02130,1,5,262071
171,08052,1,1,61162
172,95356,1,1,64239
173,35405,0,3,9374
174,43140,1,1,3138
175,16127,1,1,1470
176,84088,1,1,111553
177,33155,1,1,181887
178,28173,1,1,33566
179,94541,1,2,38670
180,95661,1,1,10238
181,96825,1,1,312795
182,19804,1,1,16739
183,45044,0,1,57267
184,08887,1,1,39697
185,16693,1,1,119585
186,28147,1,1,24714
187,91344,0,2,26390
188,97850,1,1,50856
189,13903,0,1,16593
190,60035,1,1,7405
191,27504,1,7,6758
192,10029,0,3,74678
193,55379,0,1,119790
194,24422,0,1,185721
195,77053,1,3,118908
196,10465,1,1,82445
197,80138,1,1,36528
198,20782,0,3,44616
199,02132,0,1,110120
200,08012,0,1,53577
201,91770,1,5,23325
202,53214,0,1,33352
203,45417,1,3,23138
204,85225,0,2,21420
205,49841,0,1,117238
206,99354,1,1,32008
207,31021,1,1,82235
208,92105,0,5,41993
209,00745,1,2,10263
210,79072,1,1,43715
211,23454,1,1,48479
212,91911,1,2,109679
213,85254,0,1,88198
214,29615,1,1,76818
215,73020,0,1,199162
216,69341,0,1,4784
217,76903,1,1,15962
218,35055,1,1,24459
219,79907,1,2,3569
220,77477,1,3,98958
221,72013,1,1,21066
222,52632,1,3,17152
223,77030,1,1,532924
224,73003,1,1,58362
225,75052,1,1,147875
226,80233,1,1,148319
227,34653,0,1,126287
228,30034,0,3,93932
229,08825,0,1,108737
230,96706,1,5,108305
231,68739,1,1,20194
232,33647,0,1,18176
233,00745,1,2,46477
234,78956,1,3,29964
235,55418,1,1,63632
236,60534,1,7,22579
237,85249,0,1,19217
238,98008,0,1,43727
239,34785,0,1,9094
240,39401,1,3,9135
241,78621,0,7,14231
242,34743,1,3,52767
243,55110,1,8,45222
244,92114,0,2,14538
245,60123,1,1,59717
246,30206,0,1,94219
247,52333,1,1,148324
248,76878,0,1,17444
249,07751,0,1,244250
250,54153,1,1,33062
251,66608,0,1,18071
252,93063,0,2,79075
253,31076,1,1,141244
254,98178,0,3,116088
255,34475,1,3,72364
256,52803,0,1,31773
257,85032,1,1,88159
258,24171,0,1,68645
259,48108,0,1,85282
260,71603,1,3,13205
261,08010,1,1,49477
262,33610,1,3,28777
263,65706,1,1,155474
264,98033,1,1,304912
265,30263,1,1,114974
266,53188,1,1,267760
267,72118,0,3,15751
268,48205,1,3,2043
269,28217,1,3,17875
270,74338,1,4,7327
271,72117,0,3,52197
272,30281,1,3,75158
273,89074,1,1,54224
274,15690,1,1,134244
275,31201,0,3,23897
276,23324,1,3,41085
277,54703,1,1,58553
278,49503,1,1,53250
279,00603,0,2,39037
280,91367,1,1,61021
281,19136,1,1,97672
282,44304,0,1,11639
283,95818,0,3,7476
284,60137,0,1,21663
285,07424,1,1,150520
286,36695,1,1,111984
287,35208,0,3,13494
288,66612,0,2,64353
289,04932,0,4,51939
290,33407,1,3,50645
291,06511,0,1,109124
292,91801,1,1,209645
293,23661,1,3,1328
294,27870,1,1,156105
295,32822,1,1,150343
296,73099,1,1,35376
297,29681,1,1,17608
298,11901,0,1,71459
299,33617,1,5,125597
300,45417,1,3,76326
301,14206,0,3,33636
302,10459,1,3,3109
303,90650,1,2,819
304,25118,1,1,7703
305,32055,0,3,289
306,67332,0,1,81596
307,53143,0,1,82443
308,75067,0,1,180441
309,56401,1,1,137537
310,93546,1,1,72261
311,24422,0,1,44500
312,60192,0,1,216014
313,91786,0,1,111428
314,00985,0,2,54654
315,28719,1,2,13864
316,46804,0,1,14290
317,93001,0,2,69147
318,11215,1,5,118673
319,10705,1,2,64838
320,08742,0,1,47444
321,98133,1,1,57748
322,95119,1,2,35023
323,71107,1,1,129127
324,78672,0,1,182714
325,33573,0,1,61959
326,38655,1,3,88783
327,92802,0,2,15220
328,34491,1,1,72670
329,92105,1,5,79731
330,84119,1,1,6358
331,78332,0,1,19246
332,92117,1,1,78902
333,27510,1,1,88342
334,29650,0,1,113793
335,12304,0,1,3240
336,28443,1,1,11293
337,91911,1,1,235745
338,12572,0,1,119034
339,15014,1,1,88874
340,46055,1,1,71596
341,78610,0,1,62296
342,14218,1,2,54759
343,59353,0,1,11238
344,89433,0,1,163273
345,38002,0,1,205807
346,97034,0,1,68688
347,00612,1,2,55301
348,85296,0,1,69288
349,60305,1,1,43746
350,68154,0,1,98187
351,24073,1,1,87204
352,10023,1,5,512529
353,48182,1,1,57298
354,48174,0,1,32246
355,35802,1,1,16051
356,18702,0,3,38225
357,89148,1,1,43914
358,85286,1,1,72674
359,32220,1,1,6350
360,93662,1,2,21128
361,49445,1,1,78455
362,27610,0,3,18556
363,56071,1,1,118267
364,37770,0,1,41348
365,80232,0,2,65609
366,30047,1,1,48516
367,34236,0,1,485803
368,93536,1,5,59319
369,82414,0,1,170970
370,88008,0,2,51905
371,32693,1,1,28011
372,93010,1,1,85799
373,55391,1,1,63943
374,62701,1,5,63776
375,92316,1,2,20968
376,32643,1,1,98256
377,48342,1,3,7163
378,11554,0,2,2586
379,19350,1,1,124874
380,55442,1,1,262588
381,23059,0,1,7358
382,77304,0,1,101070
383,48911,1,3,10287
384,33903,0,2,31391
385,29302,0,1,141211
386,85712,1,1,97733
387,28787,0,1,44215
388,73162,0,1,51
389,86429,0,3,65832
390,29483,1,1,116244
391,77479,0,5,16619
392,44231,0,1,7765
393,60438,0,1,23391
394,50316,1,1,10477
395,48125,0,1,113786
396,76109,1,2,99136
397,90043,1,3,119794
398,52806,1,1,22401
399,98632,1,1,144315
400,76273,1,2,44016
401,70094,0,1,9237
402,30238,1,1,52034
403,54650,1,1,63675
404,27025,0,1,64895
405,43055,1,1,26560
406,44667,0,1,5761
407,60615,1,3,33839
408,70001,0,1,248237
409,90808,0,1,15527
410,46229,0,1,7794
411,46544,1,1,14139
412,92604,0,5,43674
413,40965,0,1,112673
414,56554,0,1,36632
415,13316,0,1,54524
416,34120,0,2,53456
417,92154,0,2,1297
418,93619,0,2,20920
419,19809,0,3,129298
420,75654,0,1,49816
421,30607,0,3,60365
422,30135,0,3,57452
423,92120,0,1,80823
424,75070,1,2,101082
425,30052,1,1,84363
426,30453,1,1,65726
427,55705,1,1,87520
428,21237,1,3,4187
429,38138,0,1,395654
430,01801,1,1,87601
431,30143,1,1,163929
432,95206,1,1,26246
433,45373,0,1,117090
434,21239,0,3,89529
435,22030,0,1,65313
436,48706,1,1,80254
437,18018,0,2,6644
438,89040,1,1,5346
439,98204,1,1,20494
440,29506,1,3,10955
441,53051,1,1,132678
442,90631,1,1,140845
443,43015,1,1,75396
444,17225,0,1,85821
445,19145,0,3,10410
446,24271,0,1,122126
447,35674,1,1,172646
448,98503,1,1,47346
449,43160,0,1,42344
450,61107,0,1,14617
451,78226,0,2,40476
452,93257,0,2,7984
453,53226,0,1,13762
454,60647,1,2,55151
455,55901,1,1,167351
456,47274,1,1,21319
457,61853,1,1,61672
458,76051,1,1,296943
459,89139,0,1,60710
460,80224,1,3,78385
461,14626,1,1,130480
462,46135,1,1,65190
463,80216,1,1,36057
464,04468,1,1,27151
465,35801,1,1,111506
466,79424,1,1,327866
467,98028,0,1,46950
